name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,goals_nilnilgames,assists_conceded,minuted,price
Chris Richards,3,21,1.88,1,0.8686260004029907,20.416603484017482,0.0,28.434268831393787,1,0.5397260273972603,2,21.140480740660962,21.140480740660962,21.140480740660962,806.0,7.5
Jason Berthomier,4,31,1.77,2,0.5,0.0,0.0,21.010418413327535,1,0.5397260273972603,1,0.0,0.0,0.0,1.059,1.0
Marcel Halstenberg,3,30,1.88,1,0.5,24.15885792809679,7.272540897341713,27.232788070584714,1,0.5397260273972603,1,24.15885792809679,24.15885792809679,24.15885792809679,33.737,10.0
Matthieu Udol,4,25,1.78,1,0.5,0.0,0.0,21.190763264496265,1,2.5424657534246577,1,13.144062586675771,13.144062586675771,13.144062586675771,1.007,3.5
Billal Brahimi,4,21,1.83,3,0.5,11.526704607247604,0.0,22.820746992089457,1,2.5424657534246577,1,1.9129284738342431,1.9129284738342431,1.9129284738342431,188.0,1.2
Gabriel Jesus,0,24,1.75,3,0.9588340832218385,41.65653576253101,30.893226570461565,40.90007145466639,0,1.5397260273972602,2,42.9581034326861,42.9581034326861,42.9581034326861,1.054,60.0
Mohamed-Ali Cho,4,17,1.82,3,0.5,14.545081794683426,0.0,24.996464879062046,1,1.5397260273972602,1,24.15885792809679,24.15885792809679,24.15885792809679,1.107,10.0
Hugo Novoa,5,18,1.82,3,0.5,16.886317030755073,0.0,22.325096813427432,1,0.5397260273972603,1,-9.613776133413358,-9.613776133413358,-9.613776133413358,525.0,0.4
Sofian Kiyine,2,24,1.82,2,0.5,16.886317030755073,0.0,24.700541678853455,1,0.5397260273972603,4,7.272540897341713,7.272540897341713,7.272540897341713,631.0,2.0
Manuel Lazzari,2,28,1.74,2,0.7199940750746285,11.526704607247604,0.0,28.672196734160302,1,2.5424657534246577,1,30.325950111836917,30.325950111836917,30.325950111836917,947.0,18.0
Jonas Martin,4,31,1.84,2,0.5780590717299579,7.272540897341713,0.0,25.549483157619942,1,0.5397260273972603,1,9.61377613341336,9.61377613341336,9.61377613341336,772.0,2.5
Ernesto Torregrossa,2,29,1.84,3,0.6524036289061143,0.0,0.0,25.86037484866081,1,3.5424657534246577,1,15.780868317153494,15.780868317153494,15.780868317153494,122.0,4.5
Tuta,3,22,1.85,1,0.5,0.0,0.0,25.97876292546689,1,1.5397260273972602,2,18.799245504589315,18.799245504589315,18.799245504589315,917.0,6.0
Merih Demiral,2,23,1.9,1,0.7199940750746285,36.362704486708566,7.272540897341713,35.758438922396046,1,0.5397260273972603,1,34.96168527870091,34.96168527870091,34.96168527870091,1.204,28.0
Anton Stach,3,23,1.94,2,0.5780590717299579,18.799245504589315,0.0,20.848126490788697,1,2.5424657534246577,1,13.144062586675771,13.144062586675771,13.144062586675771,405.0,3.5
Riccardo Orsolini,2,24,1.83,3,0.5780590717299579,11.526704607247604,11.526704607247604,28.28558264570739,1,2.5424657534246577,1,28.413021638002675,28.413021638002675,28.413021638002675,660.0,15.0
Rubén Vargas,3,23,1.79,3,0.5,32.89778932708371,16.886317030755073,27.747519999801526,1,3.5424657534246577,1,25.158857928096786,25.158857928096786,25.158857928096786,991.0,11.0
Malang Sarr,0,22,1.82,1,0.5780590717299579,20.416603484017482,0.0,30.455887586211617,0,3.5424657534246577,1,21.140480740660962,21.140480740660962,21.140480740660962,270.0,7.5
Seamus Coleman,0,33,1.77,1,0.5,43.30213617808968,7.272540897341713,31.252070617291405,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,1.08,5.0
Ibrahim Amadou,1,28,1.83,2,0.5,11.526704607247604,0.0,25.507863446819115,1,0.5397260273972603,1,16.886317030755073,16.886317030755073,16.886317030755073,18.006,5.0
Armel Bella Kotchap,3,19,1.9,1,0.5780590717299579,20.416603484017482,0.0,23.837704072763774,1,2.5424657534246577,1,20.416603484017482,20.416603484017482,20.416603484017482,677.0,7.0
Nahitan Nández,2,25,1.72,2,0.7199940750746285,41.04517495885186,0.0,34.29583023018522,1,2.5424657534246577,2,31.4313988254385,31.4313988254385,31.4313988254385,1.277,20.0
José Mari,1,34,1.82,2,0.5,0.0,0.0,24.73547248250738,1,2.5424657534246577,1,-7.272540897341713,-7.272540897341713,-7.272540897341713,23.601,0.5
Guido Rodríguez,1,27,1.85,2,0.8283607275067787,31.943308091265088,7.272540897341713,32.701385519057,1,2.5424657534246577,2,32.4313988254385,32.4313988254385,32.4313988254385,1.267,22.0
Timothy Castagne,0,26,1.85,1,0.5780590717299579,31.943308091265088,11.526704607247604,28.30818672641516,1,3.5424657534246577,1,34.96168527870091,34.96168527870091,34.96168527870091,1.405,28.0
Yves Bissouma,0,25,1.82,2,0.5,30.893226570461565,14.545081794683426,29.12454022159959,1,1.5397260273972602,4,33.772634061510146,33.772634061510146,33.772634061510146,976.0,25.0
Sergio Postigo,1,33,1.85,1,0.5,0.0,0.0,22.436385997099723,1,1.5397260273972602,1,1.9129284738342431,1.9129284738342431,1.9129284738342431,186.0,1.2
Jérémy Morel,4,37,1.72,1,0.6524036289061143,27.689144381359196,7.272540897341713,24.230061104480647,1,0.5397260273972603,4,-9.613776133413358,-9.613776133413358,-9.613776133413358,314.0,0.4
Angeliño,3,24,1.71,2,0.7788957599217969,11.526704607247604,0.0,30.33216261813494,1,3.5424657534246577,1,37.30292051477255,37.30292051477255,37.30292051477255,1.373,35.0
Randy Nteka,1,24,1.89,2,0.5,0.0,0.0,23.409915116266102,1,4.542465753424658,1,7.272540897341713,7.272540897341713,7.272540897341713,614.0,2.0
